localidade,ano,sacas_ha,lag_1,lag_2,ridge_prev,ano_anterior_prev,dois_anos_prev
Espera Feliz (MG),2022,20.0000,13.0000,34.0000,35.0481,13.0000,34.0000
Espera Feliz (MG),2023,18.0000,20.0000,13.0000,21.7074,20.0000,13.0000
Espera Feliz (MG),2024,24.0000,18.0000,20.0000,26.0005,18.0000,20.0000
Espírito Santo,2022,27.9800,20.8100,30.2800,29.8291,20.8100,30.2800
Espírito Santo,2023,20.6900,27.9800,20.8100,21.9606,27.9800,20.8100
Espírito Santo,2024,27.1400,20.6900,27.9800,28.7773,20.6900,27.9800
Minas Gerais,2022,22.6100,22.5400,32.6000,32.8498,22.5400,32.6000
Minas Gerais,2023,26.9200,22.6100,22.5400,27.9745,22.6100,22.5400
Minas Gerais,2024,25.4500,26.9200,22.6100,26.0188,26.9200,22.6100
São Paulo,2022,24.7700,26.5900,28.6700,27.8395,26.5900,28.6700
São Paulo,2023,26.8700,24.7700,26.5900,27.6783,24.7700,26.5900
São Paulo,2024,29.3700,26.8700,24.7700,25.8328,26.8700,24.7700
