escala,codigo_ibge,localidade,ano,area_colhida_ha,producao_t,rendimento_kg_ha,valor_mil_reais,sacas_60kg,sacas_ha,valor_implicito_reais_saca
espera_feliz,3124203,Espera Feliz (MG),2014,8920.0,10700.0,1200.0,59939.0,178333.33,19.99,336.11
espera_feliz,3124203,Espera Feliz (MG),2015,9356.0,12911.0,1380.0,97340.0,215183.33,23.0,452.36
espera_feliz,3124203,Espera Feliz (MG),2016,9800.0,16464.0,1680.0,123480.0,274400.0,28.0,450.0
espera_feliz,3124203,Espera Feliz (MG),2017,9820.0,11880.0,1210.0,81972.0,198000.0,20.16,414.0
espera_feliz,3124203,Espera Feliz (MG),2018,10200.0,19584.0,1920.0,136892.0,326400.0,32.0,419.4
espera_feliz,3124203,Espera Feliz (MG),2019,8900.0,8010.0,900.0,52065.0,133500.0,15.0,390.0
espera_feliz,3124203,Espera Feliz (MG),2020,9000.0,18360.0,2040.0,151960.0,306000.0,34.0,496.6
espera_feliz,3124203,Espera Feliz (MG),2021,9000.0,7020.0,780.0,90523.0,117000.0,13.0,773.7
espera_feliz,3124203,Espera Feliz (MG),2022,9500.0,11400.0,1200.0,234442.0,190000.0,20.0,1233.91
espera_feliz,3124203,Espera Feliz (MG),2023,9500.0,10260.0,1080.0,145076.0,171000.0,18.0,848.4
espera_feliz,3124203,Espera Feliz (MG),2024,9500.0,13680.0,1440.0,273600.0,228000.0,24.0,1200.0
ufs,31,Minas Gerais,2014,995621.0,1346517.0,1352.0,9301169.0,22441950.0,22.54,414.45
ufs,31,Minas Gerais,2015,980297.0,1325471.0,1352.0,9233193.0,22091183.33,22.54,417.96
ufs,31,Minas Gerais,2016,1028715.0,1816203.0,1766.0,13911353.0,30270050.0,29.43,459.57
ufs,31,Minas Gerais,2017,915086.0,1437330.0,1571.0,10624611.0,23955500.0,26.18,443.51
ufs,31,Minas Gerais,2018,1005185.0,1881219.0,1872.0,13429212.0,31353650.0,31.19,428.31
ufs,31,Minas Gerais,2019,981773.0,1477975.0,1505.0,9738669.0,24632916.67,25.09,395.35
ufs,31,Minas Gerais,2020,1045165.0,2044367.0,1956.0,16511154.0,34072783.33,32.6,484.58
ufs,31,Minas Gerais,2021,993774.0,1343980.0,1352.0,18496440.0,22399666.67,22.54,825.75
ufs,31,Minas Gerais,2022,1012763.0,1373871.0,1357.0,28256882.0,22897850.0,22.61,1234.04
ufs,31,Minas Gerais,2023,1061280.0,1714053.0,1615.0,23947804.0,28567550.0,26.92,838.29
ufs,31,Minas Gerais,2024,1089738.0,1663992.0,1527.0,34725772.0,27733200.0,25.45,1252.14
ufs,32,Espírito Santo,2014,156266.0,178332.0,1141.0,837654.0,2972200.0,19.02,281.83
ufs,32,Espírito Santo,2015,152525.0,168088.0,1102.0,877360.0,2801466.67,18.37,313.18
ufs,32,Espírito Santo,2016,148866.0,211359.0,1420.0,1431220.0,3522650.0,23.66,406.29
ufs,32,Espírito Santo,2017,149211.0,178689.0,1198.0,1179067.0,2978150.0,19.96,395.91
ufs,32,Espírito Santo,2018,125605.0,221457.0,1763.0,1335413.0,3690950.0,29.39,361.81
ufs,32,Espírito Santo,2019,123074.0,151958.0,1235.0,795183.0,2532633.33,20.58,313.97
ufs,32,Espírito Santo,2020,125044.0,227211.0,1817.0,1455993.0,3786850.0,30.28,384.49
ufs,32,Espírito Santo,2021,124599.0,155538.0,1248.0,1947226.0,2592300.0,20.81,751.16
ufs,32,Espírito Santo,2022,134902.0,226489.0,1679.0,3961624.0,3774816.67,27.98,1049.49
ufs,32,Espírito Santo,2023,136629.0,169604.0,1241.0,2270293.0,2826733.33,20.69,803.15
ufs,32,Espírito Santo,2024,137938.0,224649.0,1629.0,4393912.0,3744150.0,27.14,1173.54
ufs,35,São Paulo,2014,204848.0,289205.0,1412.0,1598801.0,4820083.33,23.53,331.7
ufs,35,São Paulo,2015,201518.0,254348.0,1262.0,1429729.0,4239133.33,21.04,337.27
ufs,35,São Paulo,2016,199747.0,340252.0,1703.0,2008867.0,5670866.67,28.39,354.24
ufs,35,São Paulo,2017,193539.0,262763.0,1358.0,1686885.0,4379383.33,22.63,385.19
ufs,35,São Paulo,2018,198707.0,342814.0,1725.0,1973887.0,5713566.67,28.75,345.47
ufs,35,São Paulo,2019,199245.0,290089.0,1456.0,1953864.0,4834816.67,24.27,404.12
ufs,35,São Paulo,2020,200302.0,344610.0,1720.0,2901429.0,5743500.0,28.67,505.17
ufs,35,São Paulo,2021,199595.0,318395.0,1595.0,4301147.0,5306583.33,26.59,810.53
ufs,35,São Paulo,2022,197329.0,293251.0,1486.0,4694620.0,4887516.67,24.77,960.53
ufs,35,São Paulo,2023,190585.0,307221.0,1612.0,4568060.0,5120350.0,26.87,892.14
ufs,35,São Paulo,2024,190200.0,335206.0,1762.0,8552652.0,5586766.67,29.37,1530.88
