escala,codigo_ibge,localidade,ano,valor_mil_reais_nominal,valor_mil_reais_reais_2024,valor_implicito_reais_saca_nominal,valor_implicito_reais_saca_reais_2024,fator_ipca_dez2024
espera_feliz,3124203,Espera Feliz (MG),2014,59939.0,104844.59,336.11,587.92,1.749188
espera_feliz,3124203,Espera Feliz (MG),2015,97340.0,153850.17,452.36,714.97,1.580544
espera_feliz,3124203,Espera Feliz (MG),2016,123480.0,183616.14,450.0,669.16,1.487011
espera_feliz,3124203,Espera Feliz (MG),2017,81972.0,118400.47,414.0,597.98,1.444401
espera_feliz,3124203,Espera Feliz (MG),2018,136892.0,190580.23,419.4,583.89,1.392194
espera_feliz,3124203,Espera Feliz (MG),2019,52065.0,69489.58,390.0,520.52,1.33467
espera_feliz,3124203,Espera Feliz (MG),2020,151960.0,194045.56,496.6,634.13,1.276952
espera_feliz,3124203,Espera Feliz (MG),2021,90523.0,105027.7,773.7,897.67,1.160232
espera_feliz,3124203,Espera Feliz (MG),2022,234442.0,257119.92,1233.91,1353.27,1.096731
espera_feliz,3124203,Espera Feliz (MG),2023,145076.0,152083.17,848.4,889.38,1.0483
espera_feliz,3124203,Espera Feliz (MG),2024,273600.0,273600.0,1200.0,1200.0,1.0
ufs,31,Minas Gerais,2014,9301169.0,16269495.36,414.45,724.95,1.749188
ufs,31,Minas Gerais,2015,9233193.0,14593469.36,417.96,660.6,1.580544
ufs,31,Minas Gerais,2016,13911353.0,20686337.26,459.57,683.39,1.487011
ufs,31,Minas Gerais,2017,10624611.0,15346202.23,443.51,640.61,1.444401
ufs,31,Minas Gerais,2018,13429212.0,18696069.05,428.31,596.29,1.392194
ufs,31,Minas Gerais,2019,9738669.0,12997907.24,395.35,527.66,1.33467
ufs,31,Minas Gerais,2020,16511154.0,21083944.06,484.58,618.79,1.276952
ufs,31,Minas Gerais,2021,18496440.0,21460165.49,825.75,958.06,1.160232
ufs,31,Minas Gerais,2022,28256882.0,30990211.45,1234.04,1353.41,1.096731
ufs,31,Minas Gerais,2023,23947804.0,25104482.93,838.29,878.78,1.0483
ufs,31,Minas Gerais,2024,34725772.0,34725772.0,1252.14,1252.14,1.0
ufs,32,Espírito Santo,2014,837654.0,1465214.52,281.83,492.97,1.749188
ufs,32,Espírito Santo,2015,877360.0,1386706.23,313.18,494.99,1.580544
ufs,32,Espírito Santo,2016,1431220.0,2128240.12,406.29,604.16,1.487011
ufs,32,Espírito Santo,2017,1179067.0,1703045.94,395.91,571.85,1.444401
ufs,32,Espírito Santo,2018,1335413.0,1859154.03,361.81,503.71,1.392194
ufs,32,Espírito Santo,2019,795183.0,1061306.72,313.97,419.05,1.33467
ufs,32,Espírito Santo,2020,1455993.0,1859232.55,384.49,490.98,1.276952
ufs,32,Espírito Santo,2021,1947226.0,2259234.33,751.16,871.52,1.160232
ufs,32,Espírito Santo,2022,3961624.0,4344837.67,1049.49,1151.01,1.096731
ufs,32,Espírito Santo,2023,2270293.0,2379948.15,803.15,841.94,1.0483
ufs,32,Espírito Santo,2024,4393912.0,4393912.0,1173.54,1173.54,1.0
ufs,35,São Paulo,2014,1598801.0,2796603.89,331.7,580.21,1.749188
ufs,35,São Paulo,2015,1429729.0,2259749.83,337.27,533.07,1.580544
ufs,35,São Paulo,2016,2008867.0,2987207.66,354.24,526.76,1.487011
ufs,35,São Paulo,2017,1686885.0,2436538.93,385.19,556.37,1.444401
ufs,35,São Paulo,2018,1973887.0,2748033.74,345.47,480.96,1.392194
ufs,35,São Paulo,2019,1953864.0,2607763.24,404.12,539.37,1.33467
ufs,35,São Paulo,2020,2901429.0,3704984.32,505.17,645.08,1.276952
ufs,35,São Paulo,2021,4301147.0,4990329.3,810.53,940.4,1.160232
ufs,35,São Paulo,2022,4694620.0,5148737.45,960.53,1053.44,1.096731
ufs,35,São Paulo,2023,4568060.0,4788697.3,892.14,935.23,1.0483
ufs,35,São Paulo,2024,8552652.0,8552652.0,1530.88,1530.88,1.0
